
--- CSV DUMP START ---
time_s,dt_s,gx_deg_s,gy_deg_s,gz_deg_s,omega_roll_deg_s,roll_gyro_deg
2.618000,0.008000,1.708984,2.746582,1.708984,1.708984,4.645940
2.627000,0.009000,1.770020,2.868652,1.586914,1.770020,4.661870
2.635000,0.008000,1.831055,2.563477,1.647949,1.831055,4.676519
2.643000,0.008000,1.708984,2.746582,1.708984,1.708984,4.690191
2.652000,0.009000,1.770020,2.685547,1.647949,1.770020,4.706121
2.660000,0.008000,1.770020,2.685547,1.525879,1.770020,4.720281
2.669000,0.009000,1.831055,2.563477,1.525879,1.831055,4.736761
2.677000,0.008000,1.770020,2.746582,1.586914,1.770020,4.750921
2.686000,0.009000,1.708984,2.624512,1.647949,1.708984,4.766302
2.694000,0.008000,1.770020,2.807617,1.586914,1.770020,4.780462
2.703000,0.009000,1.770020,2.746582,1.647949,1.770020,4.796392
2.711000,0.008000,1.831055,2.746582,1.831055,1.831055,4.811040
2.720000,0.009000,1.708984,2.746582,1.586914,1.708984,4.826421
2.728000,0.008000,1.831055,2.807617,1.647949,1.831055,4.841070
2.736000,0.008000,1.831055,2.685547,1.770020,1.831055,4.855718
2.745000,0.009000,1.770020,2.746582,1.831055,1.770020,4.871648
2.753000,0.008000,1.831055,2.807617,1.770020,1.831055,4.886297
2.762000,0.009000,1.770020,2.746582,1.647949,1.770020,4.902227
2.770000,0.008000,1.647949,2.685547,1.892090,1.647949,4.915411
2.779000,0.009000,1.708984,2.746582,1.708984,1.708984,4.930791
2.787000,0.008000,1.647949,2.807617,1.770020,1.647949,4.943975
2.796000,0.009000,1.647949,2.807617,1.708984,1.647949,4.958807
2.804000,0.008000,1.831055,2.807617,1.770020,1.831055,4.973455
2.813000,0.009000,1.892090,2.624512,1.770020,1.892090,4.990484
2.821000,0.008000,1.892090,2.807617,1.647949,1.892090,5.005620
2.829000,0.008000,1.892090,2.685547,1.647949,1.892090,5.020757
2.838000,0.009000,1.770020,2.746582,1.708984,1.770020,5.036687
2.846000,0.008000,1.831055,2.807617,1.647949,1.831055,5.051336
2.855000,0.009000,1.892090,2.807617,1.647949,1.892090,5.068365
2.863000,0.008000,1.831055,2.746582,1.708984,1.831055,5.083013
2.872000,0.009000,1.770020,2.746582,1.831055,1.770020,5.098943
2.880000,0.008000,1.770020,2.685547,1.770020,1.770020,5.113103
2.889000,0.009000,1.892090,2.746582,1.708984,1.892090,5.130132
2.897000,0.008000,1.831055,2.624512,1.708984,1.831055,5.144781
2.906000,0.009000,1.770020,2.685547,1.586914,1.770020,5.160711
2.914000,0.008000,1.831055,2.624512,1.708984,1.831055,5.175359
2.922000,0.008000,1.831055,2.868652,1.708984,1.831055,5.190008
2.931000,0.009000,1.831055,2.929688,1.647949,1.831055,5.206487
2.939000,0.008000,1.831055,2.746582,1.708984,1.831055,5.221136
2.948000,0.009000,1.770020,2.563477,1.708984,1.770020,5.237066
2.956000,0.008000,1.831055,2.624512,1.525879,1.831055,5.251714
2.965000,0.009000,1.770020,2.746582,1.647949,1.770020,5.267644
2.973000,0.008000,1.831055,2.746582,1.831055,1.831055,5.282293
2.982000,0.009000,1.770020,2.746582,1.708984,1.770020,5.298223
2.990000,0.008000,1.831055,2.624512,1.586914,1.831055,5.312871
2.999000,0.009000,1.831055,2.685547,1.770020,1.831055,5.329351
3.106000,0.107028,1.831055,2.685547,1.525879,1.831055,5.525325
3.113000,0.006976,1.831055,2.746582,1.647949,1.831055,5.538099
3.120000,0.006996,1.770020,2.746582,1.708984,1.770020,5.550482
3.127000,0.007000,1.953125,2.807617,1.770020,1.953125,5.564154
3.134000,0.007000,1.770020,2.746582,1.770020,1.770020,5.576544
3.142000,0.008000,1.831055,2.868652,1.831055,1.831055,5.591192
3.151000,0.009000,1.831055,2.868652,1.708984,1.831055,5.607672
3.159000,0.008000,1.831055,2.685547,1.708984,1.831055,5.622320
3.168000,0.009000,1.892090,2.563477,1.708984,1.892090,5.639349
3.176000,0.008000,1.831055,2.624512,1.647949,1.831055,5.653997
3.185000,0.009000,1.770020,2.746582,1.831055,1.770020,5.669928
3.193000,0.008000,1.770020,2.746582,1.770020,1.770020,5.684088
3.202000,0.009000,1.708984,2.807617,1.770020,1.708984,5.699469
3.210000,0.008000,1.647949,2.624512,1.708984,1.647949,5.712652
3.218000,0.008000,1.708984,2.685547,1.708984,1.708984,5.726324
3.227000,0.009000,1.831055,2.868652,1.586914,1.831055,5.742804
3.235000,0.008000,1.770020,2.746582,1.708984,1.770020,5.756964
3.244000,0.009000,1.770020,2.746582,1.708984,1.770020,5.772894
3.252000,0.008000,1.770020,2.868652,1.586914,1.770020,5.787054
3.261000,0.009000,1.770020,2.685547,1.647949,1.770020,5.802984
3.269000,0.008000,1.892090,2.685547,1.708984,1.892090,5.818121
3.278000,0.009000,1.953125,2.746582,1.647949,1.953125,5.835699
3.286000,0.008000,1.831055,2.624512,1.708984,1.831055,5.850348
3.295000,0.009000,1.770020,2.685547,1.647949,1.770020,5.866278
3.303000,0.008000,1.831055,2.746582,1.525879,1.831055,5.880926
3.311000,0.008000,1.770020,2.746582,1.647949,1.770020,5.895086
3.320000,0.009000,1.770020,2.685547,1.831055,1.770020,5.911016
3.328000,0.008000,1.831055,2.685547,1.647949,1.831055,5.925665
3.337000,0.009000,1.708984,2.563477,1.708984,1.708984,5.941046
3.345000,0.008000,1.770020,2.685547,1.708984,1.770020,5.955206
3.354000,0.009000,1.831055,2.746582,1.647949,1.831055,5.971685
3.362000,0.008000,1.831055,2.685547,1.586914,1.831055,5.986334
3.371000,0.009000,1.770020,2.746582,1.770020,1.770020,6.002264
3.379000,0.008000,1.831055,2.746582,1.831055,1.831055,6.016912
