
--- CSV DUMP START ---
time_s,dt_s,ax_g,ay_g,az_g,roll_acc_deg
3.641000,0.009959,-0.082520,0.010498,0.999878,-0.599507
3.649000,0.008000,-0.083252,0.011230,1.000244,-0.641058
3.658000,0.009000,-0.082153,0.011230,1.000244,-0.641116
3.666000,0.008000,-0.082520,0.011719,1.000488,-0.668806
3.675000,0.009000,-0.082520,0.011475,1.000488,-0.654873
3.683000,0.008000,-0.083374,0.011108,1.000488,-0.633930
3.692000,0.009000,-0.083008,0.010986,1.000488,-0.626984
3.700000,0.008000,-0.082886,0.011230,1.000366,-0.641000
3.709000,0.009000,-0.083496,0.010254,1.000488,-0.585164
3.717000,0.008000,-0.082642,0.011719,1.000488,-0.668799
3.725000,0.008000,-0.081909,0.011108,1.000366,-0.634083
3.734000,0.009000,-0.082642,0.011108,1.000122,-0.634199
3.742000,0.008000,-0.081787,0.011353,1.000244,-0.648103
3.751000,0.009000,-0.082031,0.010986,1.000488,-0.627034
3.759000,0.008000,-0.083496,0.010376,0.999390,-0.592776
3.768000,0.009000,-0.083740,0.010986,0.998413,-0.628240
3.776000,0.008000,-0.083252,0.011475,0.999878,-0.655231
3.785000,0.009000,-0.083130,0.012207,1.000366,-0.696719
3.793000,0.008000,-0.082764,0.010864,0.999878,-0.620406
3.802000,0.009000,-0.081787,0.010132,1.000366,-0.578349
3.810000,0.008000,-0.082397,0.010986,1.000244,-0.627167
3.818000,0.008000,-0.083008,0.011353,1.000366,-0.647960
3.827000,0.009000,-0.083008,0.011719,1.000488,-0.668779
3.835000,0.008000,-0.082642,0.011230,0.999146,-0.641790
3.844000,0.009000,-0.082642,0.010254,1.000244,-0.585347
3.852000,0.008000,-0.083130,0.010986,1.000488,-0.626977
3.861000,0.009000,-0.083008,0.010986,1.000122,-0.627212
3.869000,0.008000,-0.083618,0.010620,0.999756,-0.606496
3.878000,0.009000,-0.083008,0.010254,1.000244,-0.585330
3.886000,0.008000,-0.083130,0.011475,1.000488,-0.654841
3.895000,0.009000,-0.083496,0.011475,1.000244,-0.654980
3.903000,0.008000,-0.082397,0.010742,1.000488,-0.613082
3.911000,0.008000,-0.083252,0.010620,0.999878,-0.606441
3.920000,0.009000,-0.084351,0.011108,1.000488,-0.633879
3.928000,0.008000,-0.083496,0.010864,1.000366,-0.620068
3.937000,0.009000,-0.082764,0.011353,0.999023,-0.648838
3.945000,0.008000,-0.083252,0.011475,1.000000,-0.655152
3.954000,0.009000,-0.083008,0.011108,1.000488,-0.633950
3.962000,0.008000,-0.082520,0.011108,1.000610,-0.633898
3.971000,0.009000,-0.082886,0.011353,1.000122,-0.648123
3.979000,0.008000,-0.083008,0.011719,0.999146,-0.669671
3.988000,0.009000,-0.082764,0.011597,1.000488,-0.661826
3.996000,0.008000,-0.082886,0.010864,1.000488,-0.620024
4.004000,0.008000,-0.082520,0.011108,1.000488,-0.633975
4.013000,0.009000,-0.083374,0.011475,0.999512,-0.655463
4.021000,0.008000,-0.082520,0.010986,0.999878,-0.627389
4.030000,0.009000,-0.083984,0.011475,0.999634,-0.655350
4.038000,0.008000,-0.083618,0.011108,1.000244,-0.634071
4.047000,0.009000,-0.082275,0.011475,0.999878,-0.655284
4.190000,0.143042,-0.083130,0.010498,1.000488,-0.599114
4.199000,0.008958,-0.082153,0.011475,1.000488,-0.654893
4.207000,0.008000,-0.081787,0.010498,1.000610,-0.599107
4.216000,0.009000,-0.082764,0.011108,1.000488,-0.633962
4.224000,0.008000,-0.083130,0.011108,1.000122,-0.634174
4.233000,0.009000,-0.082886,0.011597,1.000122,-0.662060
4.241000,0.008000,-0.083130,0.010620,1.000122,-0.606300
4.250000,0.009000,-0.083252,0.011963,1.000122,-0.682945
4.258000,0.008000,-0.082642,0.011475,0.999390,-0.655582
4.267000,0.009000,-0.082520,0.011597,1.000122,-0.662080
4.275000,0.008000,-0.081787,0.010864,1.000366,-0.620155
4.284000,0.009000,-0.083374,0.011475,1.000488,-0.654827
4.292000,0.008000,-0.083740,0.010864,1.000488,-0.619980
4.300000,0.008000,-0.083862,0.010620,1.000122,-0.606263
4.309000,0.009000,-0.082642,0.011719,1.000366,-0.668880
4.317000,0.008000,-0.083008,0.011841,1.000488,-0.675745
4.326000,0.009000,-0.083374,0.010864,1.000488,-0.619999
4.334000,0.008000,-0.083496,0.011230,1.000488,-0.640890
4.343000,0.009000,-0.082642,0.010986,1.000488,-0.627002
4.351000,0.008000,-0.082886,0.011963,1.000366,-0.682800
4.360000,0.009000,-0.082642,0.011475,1.000244,-0.655026
4.368000,0.008000,-0.082397,0.011108,1.000488,-0.633981
4.377000,0.009000,-0.082397,0.012329,0.999634,-0.704240
4.385000,0.008000,-0.083252,0.012085,0.999390,-0.690415
4.393000,0.008000,-0.082031,0.010864,1.000122,-0.620293
4.402000,0.009000,-0.082520,0.010986,1.000488,-0.627009
4.410000,0.008000,-0.082764,0.010742,0.998779,-0.614106
4.419000,0.009000,-0.082275,0.011353,1.000488,-0.647920
4.427000,0.008000,-0.081665,0.011108,1.000122,-0.634250
4.436000,0.009000,-0.083862,0.011475,1.000244,-0.654960
